"Id","SalePrice"
1461,117901.283489695
1462,154031.318496231
1463,179912.96624197
1464,200349.749645794
1465,190041.059757132
1466,170618.902236848
1467,167557.784801561
1468,170581.427299262
1469,179678.0321068
1470,123639.703371299
1471,178857.370758195
1472,103647.401609073
1473,102753.532161334
1474,145204.741191514
1475,111891.816227249
1476,311663.331747126
1477,242992.357695687
1478,276231.112332955
1479,283370.222765711
1480,438833.041011895
1481,308838.676876176
1482,223960.742154705
1483,172209.854921988
1484,175087.615226664
1485,196995.29224256
1486,198674.122426877
1487,316947.527639356
1488,224604.848398567
1489,188854.069591265
1490,222802.664437886
1491,195472.608050258
1492,93227.5232593456
1493,196394.741466893
1494,290270.266238637
1495,269947.640767071
1496,220806.596520512
1497,172301.151159154
1498,175615.691311718
1499,164600.495431451
1500,166329.857393029
1501,179438.954088058
1502,164549.30772533
1503,252016.114230743
1504,238125.446767043
1505,224075.241104964
1506,186296.150296162
1507,234300.694175411
1508,191370.960936384
1509,150305.83741467
1510,149808.944198971
1511,151536.743312847
1512,165734.849884794
1513,137614.992807165
1514,148354.612425365
1515,178496.17608352
1516,152215.11312286
1517,168177.21249273
1518,132774.711894428
1519,207462.192104795
1520,133280.526845244
1521,132601.965007638
1522,168369.178533157
1523,112146.664329051
1524,110520.947196567
1525,116305.393623083
1526,114652.311000835
1527,115619.090619292
1528,126102.654818337
1529,144244.991078463
1530,191154.309322048
1531,134741.755469303
1532,99710.1237783924
1533,139598.169450753
1534,118565.812914069
1535,143293.83963242
1536,111728.861165116
1537,79690.0962702864
1538,147819.712724356
1539,167534.716599611
1540,87026.5391738891
1541,127465.193647995
1542,122530.92118655
1543,166409.368068739
1544,89294.4222324914
1545,113478.457333499
1546,135455.06905305
1547,128951.361321619
1548,121076.785127004
1549,120110.251383336
1550,133921.708093724
1551,114495.632692012
1552,131545.506455888
1553,129425.255328958
1554,119492.604046101
1555,163348.570810297
1556,97025.8701709475
1557,91304.0396177943
1558,109150.639307957
1559,93432.300735475
1560,133512.489401949
1561,109717.577436613
1562,135113.180301223
1563,121989.068453359
1564,161376.10132939
1565,150035.844269653
1566,220360.415928691
1567,89239.776918634
1568,242751.800973154
1569,137284.726169483
1570,144513.580900206
1571,119688.45044595
1572,132644.83713715
1573,241440.86842596
1574,117621.497903957
1575,227148.565099019
1576,256846.031940148
1577,185414.856815272
1578,139774.272500498
1579,148235.386628616
1580,190637.590709044
1581,161929.210289249
1582,124360.452273798
1583,289271.591461223
1584,219176.898599341
1585,146790.822153928
1586,82927.8511907462
1587,109626.315795654
1588,147843.11292465
1589,96996.7709610792
1590,130364.417322362
1591,95609.5202972121
1592,127314.494474873
1593,128886.768837162
1594,116477.790730994
1595,110909.053509532
1596,210681.370571077
1597,186964.230076519
1598,202695.993537133
1599,166979.417402912
1600,163731.551824855
1601,73922.8092052314
1602,113473.816007807
1603,84495.2686017753
1604,264853.045108457
1605,231353.225973562
1606,159577.874530214
1607,174748.909263211
1608,224909.419128017
1609,182139.142183288
1610,158437.315681344
1611,143803.760039654
1612,169331.560027243
1613,172969.848741041
1614,124438.580968255
1615,92878.2285902537
1616,84756.0451474529
1617,100321.5294229
1618,127717.836062136
1619,145891.659311821
1620,151541.745621576
1621,133096.675105486
1622,146941.219684158
1623,250416.49238506
1624,219193.220260203
1625,118038.007560085
1626,178633.041981393
1627,187240.970466261
1628,271429.196806436
1629,173369.285716495
1630,308054.968472453
1631,211324.656966644
1632,225688.492596148
1633,183260.282879363
1634,192980.671324224
1635,180571.645356971
1636,159193.640953571
1637,184414.811630999
1638,193419.405867572
1639,181877.547496948
1640,228311.221212083
1641,174239.508593158
1642,231652.711753066
1643,216796.198833674
1644,230732.263201614
1645,202750.218138007
1646,163385.701801997
1647,154727.014982792
1648,130783.414538977
1649,142707.494206056
1650,122812.100683863
1651,123463.830697926
1652,103289.407241629
1653,104771.338064123
1654,145424.65951173
1655,131215.001312156
1656,141743.511987051
1657,145124.146322591
1658,154352.474298161
1659,118291.740326317
1660,162613.510076659
1661,387446.910034286
1662,324781.371738377
1663,320902.949343914
